# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	43505	44191	-							E2P69_RS18655	687		old_locus_tag=E2P69_18680
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	43505	44191	-	WP_008576319.1	WP_008576319.1		DUF2461 domain-containing protein			E2P69_RS18655	687	228	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	44188	45633	-					sbcB		E2P69_RS18660	1446		old_locus_tag=E2P69_18685
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	44188	45633	-	WP_008576316.1	WP_008576316.1		exodeoxyribonuclease I	sbcB		E2P69_RS18660	1446	481	
gene	ncRNA	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	45781	45857	+							E2P69_RS18665	77		old_locus_tag=E2P69_18690
ncRNA	other	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	45781	45857	+				sX9 sRNA			E2P69_RS18665	77		
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	46097	47464	-							E2P69_RS18670	1368		old_locus_tag=E2P69_18695
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	46097	47464	-	WP_008576314.1	WP_008576314.1		FAD-dependent monooxygenase			E2P69_RS18670	1368	455	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	47636	48907	-					kynU		E2P69_RS18675	1272		old_locus_tag=E2P69_18700
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	47636	48907	-	WP_008576312.1	WP_008576312.1		kynureninase	kynU		E2P69_RS18675	1272	423	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	48941	51121	-							E2P69_RS18680	2181		old_locus_tag=E2P69_18705
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	48941	51121	-	WP_008576311.1	WP_008576311.1		FUSC family protein			E2P69_RS18680	2181	726	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	51134	51664	-							E2P69_RS18685	531		old_locus_tag=E2P69_18710
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	51134	51664	-	WP_008576309.1	WP_008576309.1		3-hydroxyanthranilate 3,4-dioxygenase			E2P69_RS18685	531	176	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	51751	52413	-					can		E2P69_RS18690	663		old_locus_tag=E2P69_18715
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	51751	52413	-	WP_008576307.1	WP_008576307.1		carbonate dehydratase	can		E2P69_RS18690	663	220	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	52569	53105	+							E2P69_RS18695	537		old_locus_tag=E2P69_18720
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	52569	53105	+	WP_008576306.1	WP_008576306.1		N-acetylmuramidase			E2P69_RS18695	537	178	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	53148	53678	+							E2P69_RS18700	531		old_locus_tag=E2P69_18725
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	53148	53678	+	WP_008576304.1	WP_008576304.1		DUF2589 domain-containing protein			E2P69_RS18700	531	176	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	53730	54347	+							E2P69_RS18705	618		old_locus_tag=E2P69_18730
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	53730	54347	+	WP_003485902.1	WP_003485902.1		DUF2589 domain-containing protein			E2P69_RS18705	618	205	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	54394	54654	+							E2P69_RS18710	261		old_locus_tag=E2P69_18735
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	54394	54654	+	WP_008576302.1	WP_008576302.1		hypothetical protein			E2P69_RS18710	261	86	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	54655	55128	+							E2P69_RS18715	474		old_locus_tag=E2P69_18740
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	54655	55128	+	WP_008576299.1	WP_008576299.1		hypothetical protein			E2P69_RS18715	474	157	
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	55140	55349	-							E2P69_RS18720	210		partial;pseudo;old_locus_tag=E2P69_18745
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	55140	55349	-				hypothetical protein			E2P69_RS18720	210		partial;pseudo
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	55381	56091	+							E2P69_RS18725	711		old_locus_tag=E2P69_18750
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	55381	56091	+	WP_029819143.1	WP_029819143.1		hypothetical protein			E2P69_RS18725	711	236	
gene	pseudogene	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	56260	57128	+							E2P69_RS18730	869		pseudo;old_locus_tag=E2P69_18755
CDS	without_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	56260	57128	+				hypothetical protein			E2P69_RS18730	869		pseudo
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	57500	58213	+							E2P69_RS18735	714		old_locus_tag=E2P69_18760
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	57500	58213	+	WP_050541581.1	WP_050541581.1		response regulator transcription factor			E2P69_RS18735	714	237	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	58203	58409	+							E2P69_RS22955	207		
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	58203	58409	+	WP_008576288.1	WP_008576288.1		hypothetical protein			E2P69_RS22955	207	68	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	58550	59185	-							E2P69_RS18740	636		old_locus_tag=E2P69_18765
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	58550	59185	-	WP_008576286.1	WP_008576286.1		FMN-binding negative transcriptional regulator			E2P69_RS18740	636	211	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	59187	59513	-							E2P69_RS18745	327		old_locus_tag=E2P69_18770
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	59187	59513	-	WP_008576284.1	WP_008576284.1		hypothetical protein			E2P69_RS18745	327	108	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	59510	59815	-							E2P69_RS18750	306		old_locus_tag=E2P69_18775
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	59510	59815	-	WP_008576283.1	WP_008576283.1		hypothetical protein			E2P69_RS18750	306	101	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	59812	60009	-							E2P69_RS18755	198		old_locus_tag=E2P69_18780
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	59812	60009	-	WP_008576281.1	WP_008576281.1		hypothetical protein			E2P69_RS18755	198	65	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	60070	61464	-					asnS		E2P69_RS18760	1395		old_locus_tag=E2P69_18785
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	60070	61464	-	WP_008576278.1	WP_008576278.1		asparagine--tRNA ligase	asnS		E2P69_RS18760	1395	464	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	61669	62007	+							E2P69_RS18770	339		old_locus_tag=E2P69_18795
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	61669	62007	+	WP_007966300.1	WP_007966300.1		iron-sulfur cluster assembly accessory protein			E2P69_RS18770	339	112	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	62415	62846	+					rpsF		E2P69_RS18775	432		old_locus_tag=E2P69_18800
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	62415	62846	+	WP_003485869.1	WP_003485869.1		30S ribosomal protein S6	rpsF		E2P69_RS18775	432	143	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	62858	63088	+					rpsR		E2P69_RS18780	231		old_locus_tag=E2P69_18805
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	62858	63088	+	WP_002804494.1	WP_002804494.1		30S ribosomal protein S18	rpsR		E2P69_RS18780	231	76	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	63276	63725	+					rplI		E2P69_RS18785	450		old_locus_tag=E2P69_18810
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	63276	63725	+	WP_003485864.1	WP_003485864.1		50S ribosomal protein L9	rplI		E2P69_RS18785	450	149	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	63935	67438	+					smc		E2P69_RS18790	3504		old_locus_tag=E2P69_18815
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	63935	67438	+	WP_014089857.1	WP_014089857.1		chromosome segregation protein SMC	smc		E2P69_RS18790	3504	1167	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	67495	68226	+					zipA		E2P69_RS18795	732		old_locus_tag=E2P69_18820
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	67495	68226	+	WP_008576275.1	WP_008576275.1		cell division protein ZipA	zipA		E2P69_RS18795	732	243	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	68233	68616	+							E2P69_RS18800	384		old_locus_tag=E2P69_18825
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	68233	68616	+	WP_008576274.1	WP_008576274.1		hypothetical protein			E2P69_RS18800	384	127	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	68798	69922	-							E2P69_RS18805	1125		old_locus_tag=E2P69_18830
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	68798	69922	-	WP_031422051.1	WP_031422051.1		pyridoxal phosphate-dependent aminotransferase			E2P69_RS18805	1125	374	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	70267	72768	+					ligA		E2P69_RS18810	2502		old_locus_tag=E2P69_18835
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	70267	72768	+	WP_008576272.1	WP_008576272.1		NAD-dependent DNA ligase LigA	ligA		E2P69_RS18810	2502	833	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	72765	73727	+					genX		E2P69_RS18815	963		old_locus_tag=E2P69_18840
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	72765	73727	+	WP_008576271.1	WP_008576271.1		EF-P lysine aminoacylase GenX	genX		E2P69_RS18815	963	320	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	73836	74522	+							E2P69_RS18820	687		old_locus_tag=E2P69_18845
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	73836	74522	+	WP_008576270.1	WP_008576270.1		DUF3011 domain-containing protein			E2P69_RS18820	687	228	
gene	ncRNA	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	74527	74603	-							E2P69_RS18825	77		old_locus_tag=E2P69_18850
ncRNA	other	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	74527	74603	-				sX9 sRNA			E2P69_RS18825	77		
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	74721	75785	+					mtnA		E2P69_RS18830	1065		old_locus_tag=E2P69_18855
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	74721	75785	+	WP_008576269.1	WP_008576269.1		S-methyl-5-thioribose-1-phosphate isomerase	mtnA		E2P69_RS18830	1065	354	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	75995	78697	+					gyrA		E2P69_RS18835	2703		old_locus_tag=E2P69_18860
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	75995	78697	+	WP_008576268.1	WP_008576268.1		DNA gyrase subunit A	gyrA		E2P69_RS18835	2703	900	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	78922	81390	+							E2P69_RS18840	2469		old_locus_tag=E2P69_18865
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	78922	81390	+	WP_008576267.1	WP_008576267.1		membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family			E2P69_RS18840	2469	822	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	81723	82451	-							E2P69_RS18845	729		old_locus_tag=E2P69_18870
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	81723	82451	-	WP_008576266.1	WP_008576266.1		hypothetical protein			E2P69_RS18845	729	242	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	82721	84388	-							E2P69_RS18850	1668		old_locus_tag=E2P69_18875
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	82721	84388	-	WP_008576264.1	WP_008576264.1		urocanate hydratase			E2P69_RS18850	1668	555	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	84405	85262	-					hutG		E2P69_RS18855	858		old_locus_tag=E2P69_18880
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	84405	85262	-	WP_033479085.1	WP_033479085.1		N-formylglutamate deformylase	hutG		E2P69_RS18855	858	285	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	85444	86985	-					hutH		E2P69_RS18860	1542		old_locus_tag=E2P69_18885
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	85444	86985	-	WP_031422068.1	WP_031422068.1		histidine ammonia-lyase	hutH		E2P69_RS18860	1542	513	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	86999	88204	-							E2P69_RS18865	1206		old_locus_tag=E2P69_18890
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	86999	88204	-	WP_008576258.1	WP_008576258.1		imidazolonepropionase			E2P69_RS18865	1206	401	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	88265	89635	+							E2P69_RS18870	1371		old_locus_tag=E2P69_18895
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	88265	89635	+	WP_008576256.1	WP_008576256.1		formimidoylglutamate deiminase			E2P69_RS18870	1371	456	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	89696	89923	+							E2P69_RS18875	228		old_locus_tag=E2P69_18900
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	89696	89923	+	WP_008576254.1	WP_008576254.1		hypothetical protein			E2P69_RS18875	228	75	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	89952	90689	+					hutC		E2P69_RS18880	738		old_locus_tag=E2P69_18905
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	89952	90689	+	WP_008576253.1	WP_008576253.1		histidine utilization repressor	hutC		E2P69_RS18880	738	245	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	90872	91870	-							E2P69_RS18885	999		old_locus_tag=E2P69_18910
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	90872	91870	-	WP_011347042.1	WP_011347042.1		restriction endonuclease			E2P69_RS18885	999	332	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	92410	92970	-							E2P69_RS18890	561		old_locus_tag=E2P69_18915
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	92410	92970	-	WP_008576248.1	WP_008576248.1		phasin family protein			E2P69_RS18890	561	186	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	93133	93408	-							E2P69_RS18895	276		old_locus_tag=E2P69_18920
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	93133	93408	-	WP_008576246.1	WP_008576246.1		polyhydroxyalkanoic acid system family protein			E2P69_RS18895	276	91	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	93644	94453	+							E2P69_RS18900	810		old_locus_tag=E2P69_18925
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	93644	94453	+	WP_033479079.1	WP_033479079.1		FHA domain-containing protein			E2P69_RS18900	810	269	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	94395	95051	-					msrQ		E2P69_RS18905	657		old_locus_tag=E2P69_18930
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000022.1	94395	95051	-	WP_008576242.1	WP_008576242.1		protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	msrQ		E2P69_RS18905	657	218	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	277	1776	+							E2P69_RS18910	1500		old_locus_tag=E2P69_18935
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	277	1776	+	WP_033478423.1	WP_033478423.1		MASE1 domain-containing protein			E2P69_RS18910	1500	499	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	1760	2194	-							E2P69_RS18915	435		old_locus_tag=E2P69_18940
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	1760	2194	-	WP_008571267.1	WP_008571267.1		hypothetical protein			E2P69_RS18915	435	144	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	2898	4073	+							E2P69_RS18920	1176		old_locus_tag=E2P69_18945
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	2898	4073	+	WP_033478422.1	WP_033478422.1		N-acetylmuramoyl-L-alanine amidase			E2P69_RS18920	1176	391	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	4110	5027	+							E2P69_RS18925	918		old_locus_tag=E2P69_18950
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	4110	5027	+	WP_033478421.1	WP_033478421.1		GTP cyclohydrolase I FolE2			E2P69_RS18925	918	305	
gene	tRNA	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	5513	5587	-							E2P69_RS18930	75		old_locus_tag=E2P69_18955
tRNA		GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	5513	5587	-				tRNA-Glu			E2P69_RS18930	75		anticodon=CTC
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	5637	7004	+					pcnB		E2P69_RS18935	1368		old_locus_tag=E2P69_18960
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	5637	7004	+	WP_008571264.1	WP_008571264.1		polynucleotide adenylyltransferase PcnB	pcnB		E2P69_RS18935	1368	455	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	7008	7493	+					folK		E2P69_RS18940	486		old_locus_tag=E2P69_18965
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	7008	7493	+	WP_008571263.1	WP_008571263.1		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK		E2P69_RS18940	486	161	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	7529	8344	+					panB		E2P69_RS18945	816		old_locus_tag=E2P69_18970
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	7529	8344	+	WP_008571262.1	WP_008571262.1		3-methyl-2-oxobutanoate hydroxymethyltransferase	panB		E2P69_RS18945	816	271	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	8341	9183	+							E2P69_RS18950	843		old_locus_tag=E2P69_18975
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	8341	9183	+	WP_008571261.1	WP_008571261.1		pantoate--beta-alanine ligase			E2P69_RS18950	843	280	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	9359	9739	+							E2P69_RS18955	381		old_locus_tag=E2P69_18980
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	9359	9739	+	WP_008571260.1	WP_008571260.1		aspartate 1-decarboxylase			E2P69_RS18955	381	126	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	9736	11250	+					pgi		E2P69_RS18960	1515		old_locus_tag=E2P69_18985
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	9736	11250	+	WP_008571259.1	WP_008571259.1		glucose-6-phosphate isomerase	pgi		E2P69_RS18960	1515	504	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	11405	11749	+							E2P69_RS18965	345		old_locus_tag=E2P69_18990
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	11405	11749	+	WP_008571258.1	WP_008571258.1		type II toxin-antitoxin system prevent-host-death family antitoxin			E2P69_RS18965	345	114	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	11753	12376	+							E2P69_RS18970	624		old_locus_tag=E2P69_18995
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	11753	12376	+	WP_008571257.1	WP_008571257.1		hypothetical protein			E2P69_RS18970	624	207	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	12593	14548	-							E2P69_RS18980	1956		old_locus_tag=E2P69_19005
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	12593	14548	-	WP_033478420.1	WP_033478420.1		DUF839 domain-containing protein			E2P69_RS18980	1956	651	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	14983	17595	+							E2P69_RS18985	2613		old_locus_tag=E2P69_19010
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	14983	17595	+	WP_033478419.1	WP_033478419.1		exo 1,3/1,4-beta-D-glucan glucohydrolase			E2P69_RS18985	2613	870	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	17852	19414	+							E2P69_RS18995	1563		old_locus_tag=E2P69_19020
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	17852	19414	+	WP_033478418.1	WP_033478418.1		sodium/sugar symporter			E2P69_RS18995	1563	520	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	19611	21467	-							E2P69_RS19000	1857		old_locus_tag=E2P69_19025
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	19611	21467	-	WP_008571252.1	WP_008571252.1		EAL domain-containing protein			E2P69_RS19000	1857	618	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	21921	22907	+							E2P69_RS19010	987		old_locus_tag=E2P69_19035
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	21921	22907	+	WP_033478414.1	WP_033478414.1		cellulase family glycosylhydrolase			E2P69_RS19010	987	328	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	23091	23657	-							E2P69_RS19015	567		old_locus_tag=E2P69_19040
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	23091	23657	-	WP_008571250.1	WP_008571250.1		response regulator transcription factor			E2P69_RS19015	567	188	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	23654	24880	-							E2P69_RS19020	1227		old_locus_tag=E2P69_19045
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	23654	24880	-	WP_008571249.1	WP_008571249.1		HAMP domain-containing histidine kinase			E2P69_RS19020	1227	408	
gene	protein_coding	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	25204	26469	+					ispG		E2P69_RS19025	1266		old_locus_tag=E2P69_19050
CDS	with_protein	GCF_007714115.1	Primary Assembly	unplaced scaffold		NZ_SMVI01000023.1	25204	26469	+	WP_008571248.1	WP_008571248.1		flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	ispG		E2P69_RS19025	1266	421	
